Num,lat,lon,site_mean,MAT,MAT_season,MAP,MAP_season,AI,AET,VPD,srad,tmax,tmin,CEC,BD,pH,Sand,Silt,Clay,SWC,SOC,TN,TP,MBC,MBN,FB_ratio,NPP,BNPP,NDVI,Ndep,LDMC,SLA,LNC,LPC,Vcmax,fLNR,EM_tree,AM_tree,lnBNF,,,,,,,,,ssss
46,57,16,0.5,6.916313,664.7781,523,20.92031,6952,462.083,0.3,117.2417,11.1,4.55,0.2489,1.11,5,52,33,14,34,76.3,4,600,132.082,32.0921,NaN,7175,1.366124,0.497,0.1074482,0.3458261,10.9204,12.78922,1.182398,52.43835,9.449839,0.9048728,0.08805353,-0.693147181,,,,,,,,,
47,56.5,-3.4,1.5,7.9795,426.4392,798,16.93278,13044,496.1532,0.2916667,99.41666,12.04167,4.833333,0.1627,1.35,6.2,53,35,12,37,35.9,1.4,700,116.244,16.4114,0.103981,8208,1.593644,0.635,0.06350087,0.3170109,12.21976,12.64894,1.475269,58.08265,18.45962,0.9050459,0.1030111,0.405465108,,,,,,,,,
48,54.8,-66.83,5.516773672,-5.280562,1314.909,803,30.477,16425,352.3656,0.1583333,121.9167,0.3583333,-8.983334,0.2095,1.19,7.6,40,38,21,34,27.9,1.4,NaN,125.915,25.5041,0.179571,2921,0.8034454,0.251,0.01338295,0.2266272,11.85515,16.69031,1.648181,58.09393,16.5725,0.9795402,0.02518021,1.70779321,,,,,,,,,
49,54.33,-3.03,9.515,8.339357,424.8041,1350,26.57683,16705,572.3823,0.2583333,105.1667,13.09167,6.191667,0.1037,1.26,7.7,15,60,25,27,21.4,0.4,700,256.247,35.9987,0.08032563,8751,1.707928,NaN,0.07415842,0.3032937,13.93989,13.85856,1.505108,45.65667,18.23293,0.8670203,0.1295825,2.252869501,,,,,,,,,
50,54.33,-3.03,0.47,8.339357,424.8041,1350,26.57683,16705,572.3823,0.2583333,105.1667,13.09167,6.191667,0.1037,1.26,7.7,15,60,25,27,21.4,0.4,700,256.247,35.9987,0.08032563,8751,1.707928,NaN,0.07415842,0.3032937,13.93989,13.85856,1.505108,45.65667,18.23293,0.8670203,0.1295825,-0.755022584,,,,,,,,,
51,54.33,-3.03,4.916666667,8.339357,424.8041,1350,26.57683,16705,572.3823,0.2583333,105.1667,13.09167,6.191667,0.1037,1.26,7.7,15,60,25,27,21.4,0.4,700,256.247,35.9987,0.08032563,8751,1.707928,NaN,0.07415842,0.3032937,13.93989,13.85856,1.505108,45.65667,18.23293,0.8670203,0.1295825,1.592630794,,,,,,,,,
52,51.77,-106.66,1.5,2.657906,1293.713,343,62.25358,3345,490.8803,0.4416667,149.8833,9.008333,-3,0.1022,1.39,6.6,87,7,6,20,11.2,0.9,400,70.7398,5.66842,0.1394468,3537,1.433794,0.286,0.04565167,0.2829809,13.058,2.944794,1.469451,78.69639,23.82286,0.983832,0.02611152,0.405465108,,,,,,,,,
53,51.7,-1.4,4.9,10.11057,479.4881,646,13.57704,7528,573.5558,0.4,112.1083,14.65833,7.1,0.1781,0.8,6.6,6,26,69,40,90.8,1.4,700,104.372,14.1088,0.06509908,6734,NaN,0.606,0.08196111,0.316684,12.02872,0.8023604,NaN,60.5691,20.74798,0.8833887,0.1177974,1.589235205,,,,,,,,,
54,51,9,4.2,8.208313,636.9498,768,11.6982,9175,572.4801,0.4,122.05,13.45,4.908333,0.1141,1.4,5.9,25,60,15,30,15.3,1,500,92.7964,17.9859,0.1966832,6055,1.735588,0.574,0.1548631,0.3232974,12.08874,7.396855,NaN,60.39452,16.02361,0.953659,0.04527363,1.435084525,,,,,,,,,
55,49.67,-103.86,8.91768,3.450854,1280.34,407,56.67012,3748,549.8335,0.4416667,150.8417,9.583333,-2.533333,0.2302,1.37,6.7,35,38,27,25,27,1.6,500,116.065,13.6509,0.1420159,3534,1.45847,0.284,0.05178475,NaN,NaN,NaN,NaN,79.00793,25.72742,0.9051098,0.1210632,2.188035823,,,,,,,,,
56,49.46608,-96.24147,5.15023622,2.293261,1333.639,610,53.08946,7154,582.9307,0.3083333,143.4583,8.533334,-3.058333,0.9999,0.38,6.1,66,23,9,55,479.2,0.7,300,81.8709,14.7406,0.1710864,5683,1.09326,0.488,0.07216169,0.3480004,10.35303,14.21833,1.171191,49.33558,14.34011,0.9578936,0.05109309,1.639042582,,,,,,,,,
57,49.27,-126.02,0.26,8.932384,403.4206,3158,54.91885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,NaN,NaN,0.01065533,0.3740937,8.632744,NaN,NaN,NaN,NaN,0.8110639,0.2004876,-1.347073648,,,,,,,,,
58,49.27,-126.02,0.76,8.932384,403.4206,3158,54.91885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,NaN,NaN,0.01065533,0.3740937,8.632744,NaN,NaN,NaN,NaN,0.8110639,0.2004876,-0.274436846,,,,,,,,,
59,49.2,-122.57,0.3,9.896754,569.5126,2101,50.88994,20632,499.1943,0.475,133.3667,15.05,6.425,0.8118,0.55,4.2,15,65,20,56,312.5,2,700,108.424,18.0735,NaN,0,NaN,0.551,0.03754719,0.3176115,11.17979,11.05641,1.263722,54.40945,15.60988,0.8456022,0.1511637,-1.203972804,,,,,,,,,
60,49.2,-73.65,4.908195555,0.08596868,1263.587,971,31.51881,13569,421.7428,0.2333333,140.3167,6.1,-4.975,0.2993,0.78,4,73,17,10,28,114.3,5.3,800,266.411,52.8973,0.1961056,5164,1.327933,0.445,0.04937956,0.3572673,9.109367,14.48811,1.141033,75.65837,13.02543,0.9979819,0.004452972,1.59090637,,,,,,,,,
61,49,-96,1.08,2.905771,1346.678,529,67.18866,5750,607.8861,0.35,143.3917,9.733334,-3.066667,0.296,1.47,7.6,10,61,29,21,33.4,3.5,700,199.758,25.8931,0.175701,5088,1.627223,0.381,0.07037824,NaN,NaN,NaN,NaN,42.25921,14.28846,0.9028141,0.1093587,0.076961041,,,,,,,,,
62,48.6,-116.9,0.9,3.708135,775.2828,907,36.9262,9353,492.8853,0.4333333,151.925,8.716666,-2.308333,0.4236,1.04,5.8,46,37,14,36,33.4,6.9,2400,72.8265,23.7657,0.1508102,5000,2.009996,0.346,0.02455243,0.3326925,9.205045,14.30773,1.425513,50.52388,8.300404,0.9206008,0.07796277,-0.105360516,,,,,,,,,
63,48.42,-114.03,1.1,6.633021,858.7229,476,24.41818,3935,518.3325,0.6166667,155.6167,13.39167,0.5916666,0.1354,1.38,7,40,47,13,21,10.2,0.5,600,101.943,10.8702,0.1760418,3915,2.323346,0.333,0.02164403,0.2991565,12.59761,6.305126,1.339079,50.62779,9.909287,0.9636363,0.02403593,0.09531018,,,,,,,,,
64,48.42,-114.03,0.83,6.633021,858.7229,476,24.41818,3935,518.3325,0.6166667,155.6167,13.39167,0.5916666,0.1354,1.38,7,40,47,13,21,10.2,0.5,600,101.943,10.8702,0.1760418,3915,2.323346,0.333,0.02164403,0.2991565,12.59761,6.305126,1.339079,50.62779,9.909287,0.9636363,0.02403593,-0.186329578,,,,,,,,,
65,48.302222,-120.869167,0.549252,2.641698,730.4869,1272,56.24867,14385,367.0512,0.3916667,145.8,6.725,-2.716667,0.115,1.09,5.7,67,24,9,15,35.7,2.3,800,87.5361,27.4372,0.1539733,3301,2.269448,0.227,0.02103373,0.2706177,10.41454,14.98481,1.518449,48.39269,10.26956,0.9077991,0.07275696,-0.599197926,,,,,,,,,
66,48.302222,-120.869167,1.0731,2.641698,730.4869,1272,56.24867,14385,367.0512,0.3916667,145.8,6.725,-2.716667,0.115,1.09,5.7,67,24,9,15,35.7,2.3,800,87.5361,27.4372,0.1539733,3301,2.269448,0.227,0.02103373,0.2706177,10.41454,14.98481,1.518449,48.39269,10.26956,0.9077991,0.07275696,0.070551656,,,,,,,,,
67,47.341111,-120.864722,1.667466,6.38026,761.9114,769,70.73768,9053,421.7946,0.5666667,153.7667,12.5,1.25,0.0934,0.71,6.7,27,63,10,34,19.7,3.1,1000,204.693,43.4224,0.1351512,6970,2.093561,0.497,0.01977273,0.3572173,9.260377,14.79128,1.10604,59.50823,10.81454,0.8727393,0.1230808,0.511305109,,,,,,,,,
68,47.341111,-120.864722,0.576408,6.38026,761.9114,769,70.73768,9053,421.7946,0.5666667,153.7667,12.5,1.25,0.0934,0.71,6.7,27,63,10,34,19.7,3.1,1000,204.693,43.4224,0.1351512,6970,2.093561,0.497,0.01977273,0.3572173,9.260377,14.79128,1.10604,59.50823,10.81454,0.8727393,0.1230808,-0.550939536,,,,,,,,,
69,47.356667,-120.835833,0.321492,6.38026,761.9114,769,70.73768,9053,421.7946,0.5666667,153.7667,12.5,1.25,0.0934,0.71,6.7,27,63,10,34,19.7,3.1,1000,204.693,43.4224,0.1351512,6970,2.093561,0.497,0.01977273,0.3572173,9.260377,14.79128,1.10604,59.50823,10.81454,0.8727393,0.1230808,-1.134782619,,,,,,,,,
70,47.366944,-120.800833,0.173448,6.38026,761.9114,769,70.73768,9053,421.7946,0.5666667,153.7667,12.5,1.25,0.0934,0.71,6.7,27,63,10,34,19.7,3.1,1000,204.693,43.4224,0.1351512,6970,2.093561,0.497,0.01977273,0.3572173,9.260377,14.79128,1.10604,59.50823,10.81454,0.8727393,0.1230808,-1.751877436,,,,,,,,,
71,47.420556,-120.941111,0.16206,6.38026,761.9114,769,70.73768,9053,421.7946,0.5666667,153.7667,12.5,1.25,0.0934,0.71,6.7,27,63,10,34,19.7,3.1,1000,204.693,43.4224,0.1351512,6970,2.093561,0.497,0.01977273,0.3572173,9.260377,14.79128,1.10604,59.50823,10.81454,0.8727393,0.1230808,-1.819788642,,,,,,,,,
72,47.325,-120.850278,0.363102,6.38026,761.9114,769,70.73768,9053,421.7946,0.5666667,153.7667,12.5,1.25,0.0934,0.71,6.7,27,63,10,34,19.7,3.1,1000,204.693,43.4224,0.1351512,6970,2.093561,0.497,0.01977273,0.3572173,9.260377,14.79128,1.10604,59.50823,10.81454,0.8727393,0.1230808,-1.013071492,,,,,,,,,
73,47.325,-120.850278,0.338136,6.38026,761.9114,769,70.73768,9053,421.7946,0.5666667,153.7667,12.5,1.25,0.0934,0.71,6.7,27,63,10,34,19.7,3.1,1000,204.693,43.4224,0.1351512,6970,2.093561,0.497,0.01977273,0.3572173,9.260377,14.79128,1.10604,59.50823,10.81454,0.8727393,0.1230808,-1.084307098,,,,,,,,,
